Code,Lat,Long,Cluster
100413,12.956545,77.695542,Indiranagar
100414,12.96767742,77.65036572,Indiranagar
100415,12.95712984,77.65582066,Indiranagar
100416,12.985707,77.664068,Indiranagar
100417,12.9591694,77.6568195,Indiranagar
100418,12.91616,77.63756,Koramangala
100419,12.914536,77.633566,Koramangala
100420,12.914536,77.633566,Koramangala
100421,12.914536,77.633566,Koramangala
100422,12.914536,77.633566,Koramangala
100423,12.914536,77.633566,Koramangala
100424,12.914536,77.633566,Koramangala
100425,12.914536,77.633566,Koramangala
100426,12.914536,77.633566,Koramangala
100427,12.914536,77.633566,Koramangala
100428,12.914551,77.633547,Koramangala
100429,12.90927,77.64107,Koramangala
100430,12.91316,77.64618,Koramangala
100431,12.987581,77.693828,Whitefield
100432,12.972608,77.705344,Whitefield
100433,12.98649,77.69562,Whitefield
100434,12.98193,77.69364,Whitefield
100435,12.939218,77.720656,ORR
100436,12.918863,77.685119,ORR
100437,12.98088,77.69418,Whitefield
100438,12.98845,77.73134,Whitefield
100439,12.98861,77.73128,Whitefield
100440,12.991219,77.730899,Whitefield
100441,12.99058,77.72859,Whitefield
100442,12.98982,77.72694,Whitefield
100443,12.99403,77.72676,Whitefield
100444,12.91390665,77.66449325,Koramangala
100445,12.91372,77.6536,Koramangala
100446,12.94065,77.62479,Koramangala
100447,12.915444,77.69025,ORR
100448,13.077311,77.635111,Bhartiya City
100449,13.076408,77.639051,Bhartiya City
100450,13.08303,77.63953,Bhartiya City
100451,12.92224975,77.67792043,ORR
100452,12.91446,77.635243,Koramangala
100453,12.91622,77.63015,Koramangala
100454,12.9548288,77.6414764,Indiranagar
100455,12.976714,77.6266149,Indiranagar
100456,12.99385,77.73137,Whitefield
100457,12.99232,77.72976,Whitefield
100458,12.95657009,77.70928438,Whitefield
100459,12.981133,77.693443,Whitefield
100460,12.974363,77.704528,Whitefield
100461,12.9771781,77.706744,Whitefield
100462,12.939218,77.720656,ORR
100463,12.92932762,77.6842149,ORR
100464,12.9291636,77.68502743,ORR
100465,12.92542,77.68684,ORR
100466,12.92236,77.68505,ORR
100467,12.912377,77.637721,Koramangala
100468,12.92083,77.68542,ORR
100469,12.9608105,77.6385567,Indiranagar
100470,12.91949,77.68555,ORR
100471,12.91942,77.68516,ORR
100472,12.94246601,77.69511102,ORR
100473,12.94318,77.69691,ORR
100474,12.964483,77.639679,Indiranagar
100475,12.95943714,77.65708272,Indiranagar
100476,12.973351,77.619978,Indiranagar
100477,12.97259,77.62128,Indiranagar
100478,12.97125558,77.6910271,Indiranagar
100479,12.97308989,77.62163993,Indiranagar
100480,12.96250857,77.63923589,Indiranagar
100481,12.96250857,77.63923589,Indiranagar
100482,12.956986,77.641519,Indiranagar
100482,12.980685,77.717491,Whitefield
100483,12.94036,77.68894,ORR
100484,12.978321,77.712191,Whitefield
100485,12.979161,77.714477,Whitefield
100486,12.97922,77.6657581,Indiranagar
100487,12.94304,77.69138,ORR
100488,12.92648,77.68096,ORR
100489,12.92555,77.68097,ORR
100490,12.976602,77.711249,Whitefield
100491,12.975373,77.711924,Whitefield
100492,12.979546,77.658848,Indiranagar
100493,12.979558,77.660277,Indiranagar
100494,12.9959441,77.718812,Whitefield
100495,12.95575,77.722796,Whitefield
100496,12.99568053,77.69505927,Whitefield
100497,12.99586844,77.70143712,Whitefield
100498,12.99458552,77.70365586,Whitefield
100499,12.92719,77.67978,ORR
100500,12.98977,77.725352,Whitefield
100501,12.98751418,77.73661,Whitefield
100502,12.98433551,77.74546551,Whitefield
100503,12.98270656,77.74400921,Whitefield
100504,12.98706,77.74073,Whitefield
100505,12.983185,77.752192,Whitefield
100506,12.9792544,77.6610582,Indiranagar
100507,12.9782701,77.663263,Indiranagar
100508,12.979175,77.66542,Indiranagar
100509,12.84944601,77.67928228,Electronic City
100510,12.84864711,77.67748151,Electronic City
100511,12.8449697,77.6776629,Electronic City
100512,12.858125,77.65314333,Electronic City
100513,12.8580062,77.65329067,Electronic City
100514,12.858125,77.65314333,Electronic City
100515,12.82801353,77.65523594,Electronic City
100516,12.8469843,77.6637835,Electronic City
100517,12.8514311,77.6662105,Electronic City
100518,12.85263111,77.65304491,Electronic City
100519,12.8502456,77.6648919,Electronic City
100520,12.850461,77.6653573,Electronic City
100521,12.8512997,77.6656265,Electronic City
100522,12.8497196,77.6670082,Electronic City
100523,12.8491332,77.6661773,Electronic City
100524,12.8489733,77.6651735,Electronic City
100525,12.8484186,77.665714,Electronic City
100526,12.8469843,77.6637835,Electronic City
100527,12.8459003,77.663524,Electronic City
100528,12.8476312,77.6664999,Electronic City
100529,12.99326,77.66029,Indiranagar
100530,12.99421,77.66197,Indiranagar
100531,12.989411,77.65315,Indiranagar
100532,12.8471389,77.6625061,Electronic City
100533,12.8489717,77.6669843,Electronic City
100534,12.986029,77.645186,Indiranagar
100535,13.00045,77.67757,Indiranagar
100536,12.951886,77.643031,Indiranagar
100537,12.9944645,77.6848596,Indiranagar
100538,12.9876351,77.6879291,Indiranagar
100539,12.9543889,77.6414348,Indiranagar
100540,12.95664,77.64137,Indiranagar
100541,12.95949,77.64135,Indiranagar
100542,12.96136,77.6386,Indiranagar
100543,12.97478241,77.75065059,Whitefield
100544,12.9693692,77.7497723,Whitefield
100545,12.8489547,77.6676324,Electronic City
100546,12.8481189,77.6683067,Electronic City
100547,12.84088945,77.64407091,Electronic City
100548,12.8485705,77.6682347,Electronic City
100549,12.84143176,77.64817066,Electronic City
100550,12.84143176,77.64817,Electronic City
100551,12.86642784,77.65201058,Electronic City
100552,12.85947809,77.64762081,Electronic City
100553,12.85947809,77.64762081,Electronic City
100554,12.86659336,77.64235687,Electronic City
100555,12.85503957,77.67573548,Electronic City
100556,12.84001894,77.6500167,Electronic City
100557,12.847028,77.643611,Electronic City
100558,12.86349558,77.65617203,Electronic City
100559,12.85204175,77.67910492,Electronic City
100560,12.85302924,77.67873578,Electronic City
100561,12.86467772,77.64678933,Electronic City
100562,12.86532567,77.65665516,Electronic City
100563,12.86532567,77.65665516,Electronic City
100564,12.8454986,77.64661117,Electronic City
100565,12.8476918,77.6712855,Electronic City
100566,12.84765333,77.67063167,Electronic City
100567,12.84028131,77.6628918,Electronic City
100568,12.84911315,77.66224099,Electronic City
100569,12.92368,77.65162,Koramangala
100570,12.89953473,77.65083779,Koramangala
100571,12.908804,77.64304832,Koramangala
100572,12.920363,77.620796,Koramangala
100573,12.93631992,77.62923762,Koramangala
100574,12.94210689,77.62057107,Koramangala
100575,12.93579579,77.6141388,Koramangala
100576,12.82895412,77.64812535,Electronic City
100577,12.83211167,77.666425,Electronic City
100578,12.835205,77.6660633,Electronic City
100579,12.91984,77.689,ORR
100580,12.971646,77.7501025,Whitefield
100581,12.90575067,77.64478505,Koramangala
100582,12.960398,77.642467,Indiranagar
100583,12.960477,77.643671,Indiranagar
100584,12.960839,77.645695,Indiranagar
100585,12.96329272,77.63957553,Indiranagar
100586,12.96386,77.64078,Indiranagar
100587,12.964505,77.641497,Indiranagar
100588,12.963717,77.642295,Indiranagar
100589,12.9666,77.63736,Indiranagar
100590,12.966196,77.641563,Indiranagar
100591,12.96878,77.64123,Indiranagar
100592,12.970174,77.638836,Indiranagar
100593,12.970289,77.642152,Indiranagar
100594,12.9708416,77.6443167,Indiranagar
100595,12.969611,77.645645,Indiranagar
100596,12.97243,77.63869,Indiranagar
100597,12.91973,77.69104,ORR
100598,12.9195,77.69441,ORR
100599,12.92224,77.68874,ORR
100600,12.91930697,77.68554543,ORR
100601,12.93011,77.68774,ORR
100602,12.92321246,77.66949782,ORR
100603,12.93583,77.6908,ORR
100604,12.936222,77.691495,ORR
100605,12.923348,77.670201,ORR
100606,12.93349605,77.69501133,ORR
100607,12.920558,77.691748,ORR
100608,12.93941,77.69633,ORR
100609,12.94208,77.69712,ORR
100610,12.911169,77.711253,ORR
100611,12.92960307,77.68341067,ORR
100612,12.93553124,77.69512485,ORR
100613,12.835205,77.6660633,Electronic City
100614,12.928665,77.682915,ORR
100615,12.8342971,77.6642552,Electronic City
100616,12.8301912,77.6647875,Electronic City
100617,12.9830206,77.6928261,Whitefield
100618,12.91743014,77.64314957,Koramangala
100619,12.90709253,77.64528461,Koramangala
100620,12.93625914,77.61949785,Koramangala
100621,12.91178867,77.63623483,Koramangala
100622,12.90794255,77.63547108,Koramangala
100623,12.890401,77.668243,Koramangala
100624,12.97201,77.64327,Indiranagar
100625,12.975018,77.640937,Indiranagar
100626,12.97421,77.64123,Indiranagar
100627,12.97567,77.64463,Indiranagar
100628,12.9741,77.64463,Indiranagar
100629,12.8427634,77.6441422,Electronic City
100630,12.90877099,77.66445536,Koramangala
100631,12.93919807,77.62989912,Koramangala
100632,12.91333,77.61608,Koramangala
100633,12.91387,77.60923,Koramangala
100634,12.91644,77.6094,Koramangala
100635,12.91661,77.61045,Koramangala
100636,12.91661,77.61045,Koramangala
100637,12.91397,77.61051,Koramangala
100638,12.91492,77.60957,Koramangala
100639,12.976034,77.640052,Indiranagar
100640,12.84824178,77.64662772,Electronic City
100641,12.93749048,77.70655262,ORR
100642,12.9682501,77.7016674,Whitefield
100643,12.9602753,77.7012925,Whitefield
100644,12.9603802,77.7014903,Whitefield
100645,12.97850984,77.69428743,Whitefield
100646,12.90724117,77.70556858,ORR
100647,12.92648,77.68139,ORR
100648,12.9476317,77.6991061,ORR
100649,12.932591,77.705175,ORR
100650,12.952727,77.720719,ORR
100651,12.950101,77.717582,ORR
100652,12.92797412,77.68106337,ORR
100653,12.92380206,77.67223712,ORR
100654,12.91611,77.61976,Koramangala
100655,12.91026,77.61002,Koramangala
100656,12.91872,77.61018,Koramangala
100657,12.91715,77.61054,Koramangala
100658,12.91642,77.61545,Koramangala
100659,12.92148,77.6213,Koramangala
100660,12.91716,77.62255,Koramangala
100661,12.91655,77.62083,Koramangala
100662,12.91661,77.60501,Koramangala
100663,12.92141,77.62063,Koramangala
100664,12.91913,77.60012,Koramangala
100665,12.92036,77.62079,Koramangala
100666,12.92331,77.60022,Koramangala
100667,12.9335,77.60099,Koramangala
100668,12.9333,77.60113,Koramangala
100669,12.93671,77.60502,Koramangala
100670,12.93648,77.60568,Koramangala
100671,12.92633,77.61715,Koramangala
100672,12.91591,77.6118,Koramangala
100673,12.9173,77.61009,Koramangala
100674,12.9195,77.61487,Koramangala
100675,12.92638,77.60975,Koramangala
100676,12.93564,77.60151,Koramangala
100677,12.9125,77.59998,Koramangala
100678,12.91165,77.60636,Koramangala
100679,12.91587,77.60604,Koramangala
100680,12.90727,77.60062,Koramangala
100681,12.91636,77.6191,Koramangala
100682,12.91438932,77.61013594,Koramangala
100683,12.92532633,77.61263983,Koramangala
100684,12.91393482,77.60641654,Koramangala
100685,12.91969346,77.61238756,Koramangala
100686,12.9314504,77.60990862,Koramangala
100687,12.923061,77.670562,ORR
100688,12.921432,77.666392,ORR
100689,12.920926,77.666403,ORR
100690,12.9681038,77.7497518,Whitefield
100691,12.965124,77.748856,Whitefield
100692,12.9630944,77.7505601,Whitefield
100693,12.959414,77.746813,Whitefield
100694,12.91853197,77.66962182,ORR
100695,12.9172998,77.672935,ORR
100696,12.954152,77.700513,ORR
100697,12.943891,77.6978666,ORR
100698,12.9540885,77.7002766,ORR
100699,12.925599,77.665371,ORR
100700,12.923513,77.670916,ORR
100701,12.892105,77.709547,NA
100702,12.92143167,77.58581833,NA
100703,12.935165,77.691125,ORR
100704,12.933146,77.696715,ORR
100705,12.921615,77.695476,ORR
100706,12.921931,77.695991,ORR
100707,12.9277,77.58826,NA
100708,12.92785,77.68006,ORR
100709,12.92811402,77.58746054,NA
100710,12.897702,77.695014,NA
100711,12.9317195,77.6873808,ORR
100712,12.9422311,77.6967119,ORR
100713,12.92807367,77.68768165,ORR
100714,12.924599,77.674044,ORR
100715,12.923023,77.672121,ORR
100716,12.925586,77.670359,ORR
100717,12.927205,77.668749,ORR
100718,12.84026443,77.65005894,Electronic City
100719,12.85960299,77.66092134,Electronic City
100720,12.8562666,77.67620478,Electronic City
100721,12.8385574,77.65088137,Electronic City
100722,12.89917915,77.66700346,Koramangala
100723,12.91922617,77.61626747,Koramangala
100724,12.9225123,77.6130224,Koramangala
100725,12.91037,77.5997,Koramangala
100726,12.89844676,77.65044417,Koramangala
100727,12.92875157,77.62771849,Koramangala
100728,12.93706789,77.61045981,Koramangala
100729,12.93374662,77.61241347,Koramangala
100730,12.90687595,77.59884752,Koramangala
100731,12.90631433,77.64356693,Koramangala
100732,12.9768843,77.6410231,Indiranagar
100733,12.976677,77.644029,Indiranagar
100734,12.97893,77.64066,Indiranagar
100735,12.97943991,77.64098838,Indiranagar
100736,12.978614,77.642814,Indiranagar
100737,12.85054759,77.68113837,Electronic City
100738,12.85311325,77.67548192,Electronic City
100739,12.926518,77.662178,ORR
100740,12.92664947,77.67742602,ORR
100741,12.9581353,77.7461229,Whitefield
100742,12.979288,77.646284,Indiranagar
100743,12.92582312,77.67619893,ORR
100744,12.97288,77.62094,Indiranagar
100745,12.97259,77.62128,Indiranagar
100746,12.925307,77.674487,ORR
100747,12.97361,77.62781,Indiranagar
100748,12.89890721,77.65498583,Koramangala
100749,12.974727,77.620522,Indiranagar
100750,12.97489,77.62536,Indiranagar
100751,12.976273,77.6263393,Indiranagar
100752,12.85625352,77.67677207,Electronic City
100753,12.957051,77.74535,Whitefield
100754,12.90162231,77.65268426,Koramangala
100755,12.95684,77.74417,Whitefield
100756,12.95705936,77.74098866,Whitefield
100757,12.9637956,77.73973918,Whitefield
100758,12.93501,77.690823,ORR
100759,12.938026,77.697148,ORR
100760,12.8378598,77.64995098,Electronic City
100761,12.8378598,77.64995098,Electronic City
100762,12.937843,77.699706,ORR
100763,12.932681,77.6847285,ORR
100764,12.925968,77.687459,ORR
100765,12.9366153,77.695715,ORR
100766,12.9357674,77.695259,ORR
100767,12.971532,77.636035,Indiranagar
